time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-15 13:08:53.197 UTC, ,125,3172053,1184,26200, , ,4, ,77, , , , , , , , , ,4,4, , , ,2,2,6, ,4, , , , , , , , , , , , , , ,21088,3, ,16068, , , , ,21133,16657285120,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21133, ,1557925554951, , , , ,3145728,184762, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17603584,8, , , , , , ,165, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,30, ,31, , ,36,2, , , , , , , 
2019-05-15 13:18:00.125 UTC, ,125,3160293,1184,14440, , ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,5, ,28,12, , , , , , , , , , , , , ,194874,4, ,186208, , , , ,194922,12358164480,3,3, , , , , ,24,198, , , , , , , , , , , , , , , , , , , , , , , , , ,194922, ,1557926279407, , , , ,3145728,194874, , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,545485,86, , , , , , , , , , ,30408704,7, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:18:10.157 UTC, ,125,3171213,1184,25360, , ,4, ,16,1,0.06, , , , , , , ,4,4, , , ,2,2,6, ,3,1, , , , , , , , , , , , , ,194874,4, ,186208, , , , ,194922,12358164480,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,194922, ,1557926279407, , , , ,3145728,207103, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , ,1,12875,5, , , , , , , , , , ,31457280,7, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,5, , ,5,2, , , , , , , 
2019-05-15 13:21:05.659 UTC, ,125,3160317,1184,14464, , ,3,2,28,3,0.11, , , , , , , ,3,3, ,2,2,2,1,5, ,32,13, , , , , , , , , , , , , ,219109,5, ,208710, , , , , , ,-1,-1, , , , , ,27,215, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1557926464893, , , , ,3145728,219109, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,629532,98, , , , , , , , , , ,30408704,9, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:21:32.747 UTC, ,125,3171237,1184,25384, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,219109,5, ,208710, , , , ,219157,13477023744,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,219157, ,1557926464893, , , , ,3145728,219109, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , ,1,14743,5, , , , , , , , , , ,31457280,9, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2019-05-15 13:43:24.652 UTC, ,125,3160317,1184,14464, , ,3,2,28,3,0.11, , , , , , , ,3,3, ,2,2,2,1,5, ,32,13, , , , , , , , , , , , , ,219109,5, ,208710, , , , ,219157,14518136832,-1,-1, , , , , ,27,215, , , , , , , , , , , , , , , , , , , , , , , , , ,219157, ,1557927803850, , , , ,3145728,219109, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,629532,98, , , , , , , , , , ,30408704,9, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:43:27.936 UTC, ,125,3171237,1184,25384, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,219109,5, ,208710, , , , ,219157,14518136832,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,219157, ,1557927803850, , , , ,3145728,219109, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , ,1,14743,5, , , , , , , , , , ,31457280,9, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2019-05-15 13:48:34.779 UTC, ,125,3160317,1184,14464, , ,3,2,28,3,0.11, , , , , , , ,3,3, ,2,2,2,1,5, ,32,13, , , , , , , , , , , , , ,219109,5, ,208710, , , , ,219157,14538080256,4,4, , , , , ,27,215, , , , , , , , , , , , , , , , , , , , , , , , , ,219157, ,1557928113927, , , , ,3145728,219109, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,629532,98, , , , , , , , , , ,30408704,9, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-15 13:48:38.291 UTC, ,125,3171237,1184,25384, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,219109,5, ,208710, , , , ,219157,14538080256,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,219157, ,1557928113927, , , , ,3145728,219109, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , ,1,14743,5, , , , , , , , , , ,31457280,8, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2019-05-15 13:48:54.019 UTC, ,125,3160317,1184,14464, , ,3,2,28,3,0.11, , , , , , , ,3,3, ,2,2,2,1,5, ,32,13, , , , , , , , , , , , , ,219109,5, ,208710, , , , ,219157,14532624384,-1,-1, , , , , ,27,215, , , , , , , , , , , , , , , , , , , , , , , , , ,219157, ,1557928133267, , , , ,3145728,219109, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,629532,98, , , , , , , , , , ,30408704,8, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
